Headword,Page,Construction,English Meaning,entry_text
اَڌُ,10,اَڌواَڌ ڪرڻ,"A half sharer, To halve, Abbreviated, Abbreviation, Midnight, Semicolon","1) اَڌُ
			(p. 10) ...A half sharer. اَڌ or اَڌواَڌ ڪرڻ v. i. To halve. اَڌاَڇرو or اَڌاَکرو a. Abbreviated. اَڌاَڇريِ or اَڌاَکريِ n. Abbreviation. اَڌرات n. Midnight. اَڌدم n. Semicolon."
اعتبار,17,اَعتبار ڪرڻ,"To believe, Trustworthy","2) اعتبار
			(p. 17) اعتبار v. t. To believe. اَعتبار ڪرڻ a. Trustworthy."
اَنتقال ڪرڻ,26,اَنتقال ڪرڻ,"To alienate, transfer","3) اَنتقال ڪرڻ
			(p. 26) اَنتقال ڪرڻ v. t. To alienate, transfer."
اِندريِ,27,دَمَنُ ڪرڻ,"The organ of generation; one of the five senses, To subdue the passions","4) اِندريِ
			(p. 27) اِندريِ n. The organ of generation; one of the five senses. اِندريْ دَمَنُ ڪرڻ To subdue the passions."
اِنڪارُ,28,اِنڪار ڪرڻ,"Denial, To deny","5) اِنڪارُ
			(p. 28) اِنڪارُ n. Denial. اِنڪار ڪرڻ v. t. To deny."
"اوساريِ , اوساَر",35,اوساريِ ڪرڻ,"The building a wall, masonry, To lay bricks on","6) اوساريِ , اوساَر
			(p. 35) اوساريِ or اوساَر n. The building a wall, masonry. اوسارڻ or اوساريِ ڪرڻ To lay bricks on."
بَخِشَ,45,بخش ڪرڻ,"To be forgiven, To forgive, A gift, grant, donation, A deed of gift, A pardoner, To ask forgiveness","7) بَخِشَ
			(p. 45) ...To be forgiven. بخش ڪرڻ v. t. To forgive. بخشَشِ n. A gift, grant, donation. بخشش نامو n. A deed of gift. بخشيندڙ or بخشڻهار n. A pardoner. بخشائڻ v. t. To ask forgiveness."
بَدِليِ,46,بدلي ڪرڻ,"An oil-seller, A substitute, relief, Exchange, lieu, A transfer, To transfer,, To be transferred","8) بَدِليِ
			(p. 46) بَدِليِ n. An oil-seller. A substitute, relief (of a clerk). Exchange, lieu. A transfer. بدلي ڪرڻ v. t. To transfer, بدلي ٿيڻ To be transferred."
بَرابَرِ,46,برابريِ ڪرڻ,"Even, level, plain, abreast, in a row; equal, alike; exact, right, correct; complete; straight; entirely, continually, unintermitting, regularly, exactly, Equality, resemblance, To cope with, vie, compete, match","9) بَرابَرِ
			(p. 46) بَرابَرِ a. or adv. Even, level, plain, abreast, in a row; equal, alike; exact, right, correct; complete; straight; entirely, continually, unintermitting, regularly, exactly. براَبريِ n. Equality, resemblance. برابريِ ڪرڻ v. t. To cope with, vie, compete, match."
براۇردَ,47,برطرف ڪرڻ,"Contrary, To dismiss","10) براۇردَ
			(p. 47) ...Contrary. برطرف ڪرڻ v. t. To dismiss. n. برطرفيِ."
بَسِ,48,بس ڪرڻ,"Enough, sufficient; in short inter, Enough, Stop, A stop, pause, quiet, To come to an end, cease; to suffice; be silent, To end, cease, discontinue; finish, To stop","11) بَسِ
                        (p. 48) بَسِ a. or adv. Enough, sufficient; in short inter. Enough! Stop! n. A stop, pause, quiet. بس ٿئَڻ To come to an end, cease; to suffice; be silent. بس ڪرڻ v. i. To end, cease, discontinue; finish. v. i. To stop."
بَنْدُ,51,بند ڪرڻ,"Fastened, closed, in captivity; ceased, To close; prevent, stop, check; confine, detain, To imprison, confine, detain, To be confined, etc, To suffer from laminitis, Check, restriction, prohibition","12) بَنْدُ
			(p. 51) ...Fastened, closed, in captivity; ceased. بند ڪرڻ v. t. To close; prevent, stop, check; confine, detain (a boy in school). بَنْدَڻُ v. t. To imprison, confine, detain. بندِجَڻُ v. i. To be confined, etc. To suffer from laminitis (as a horse). بَنْدَشِ n. Check, restriction, prohibition. بندش..."
بوراقُ,52,بوراق ڪرڻ,"A horse, steed, To cut the throat of a horse","13) بوراقُ
			(p. 52) بوراقُ n. A horse, steed. بوراق ڪرڻ To cut the throat of a horse."
بي اونو,54,باق ڪرڻ,"Without anxiety, Irreligious; faithless, dishonest, To cheat; embezzle, To settle, square","14) بي اونو
			(p. 54) بي اونو a. or adv. Without anxiety. بي اِيمانُ a. Irreligious; faithless, dishonest. (n. بي اِيمانيِ). بي اِيما ني ڪرڻ To cheat; embezzle. بي باق ڪرڻ v. t. To settle, square (an account, etc)."
بَيْتُ,58,بازيِ ڪرڻ,"A couplet, verse, To cap","15) بَيْتُ
			(p. 58) بَيْتُ n. A couplet, verse. بَيْتِ بازيِ ڪرڻ To cap (verses)."
ٻِثَ,63,ٻِثَ ڪرڻ,"In pairs, by couples, two together, inseparable, A pair, couple, To couple","16) ٻِثَ
			(p. 63) ٻِثَ a. or adv. In pairs, by couples, two together, inseparable. n. A pair, couple ٻِثَ ڪرڻ v. t. To couple."
تَحْقِيقُ,89,تحْقيقات ڪرڻ,"Authentic, true, ascertained, Truly, indeed, certainly, Verification, inquiry, To inquire, ascertain","17) تَحْقِيقُ
			(p. 89) تَحْقِيقُ a. Authentic, true, ascertained. adv. Truly, indeed, certainly. تَحْقيقاتَ n. Verification, inquiry. تحْقيقات ڪرڻ v. i. To inquire, ascertain."
تَدارَڪُ,90,تدارڪ ڪرڻ,"Arrangement, provision; redress, removal of inconvenience, etc, To redress etc","18) تَدارَڪُ
			(p. 90) تَدارَڪُ n. Arrangement, provision; redress, removal of inconvenience, etc., remedy. تدارڪ ڪرڻ To redress etc., to see to, bring under discipline."
جَمَعَ,177,بنديِ ڪرڻ,"Collected in a body, Plural, To credit, The settlement of an assessment; a rent roll, accounts of the revenues, To assess revenue, A headman over workmen; a Police head constable, The office","19) جَمَعَ
			(p. 177) ...Collected in a body. (gram.) Plural (number). جمع ڪرڻ To credit. جمع بَنديِ n. The settlement of an assessment; a rent roll, accounts of the revenues. جمع بنديِ ڪرڻ To assess revenue. جَمَعَدارُ n. A headman over workmen; a Police head constable. جمعداريِ n. The office..."
جَوَابُ,179,جواب ڪرڻ,"An answer, reply; refusal; discharge from service, To face, Responsible, liable, Responsibility, liability, Responsibility","20) جَوَابُ
			(p. 179) جَوَابُ n. An answer, reply; refusal; discharge from service. جواب ڪرڻ v. t. To face. جَوابِدارُ a. or n. Responsible, liable. جَوابِداريِ n. Responsibility, liability. جوابِدِهيِ n. Responsibility."
جَهپَڻُ,187,جهپ ڪرڻ,"See, To snatch, pluck, One who snatches,, A snatch, a spring or dart; pluck, pounce, muss, clutch, scramble, To take a nap","21) جَهپَڻُ
			(p. 187) جَهپَڻُ See جهٽَڻُ v. i. To snatch, pluck. جَهپِرُ n. One who snatches, جَهپُ or جَهپو n. A snatch, a spring or dart; pluck, pounce, muss, clutch, scramble جهپ ڪرڻ To take a nap."
چان چۇن ڪرڻ,193,چۇن ڪرڻ,"To question, object, dispute","22) چان چۇن ڪرڻ
			(p. 193) چان چۇن ڪرڻ v. i. To question, object, dispute."
چَٽُ,195,چٽ ڪرڻ,"Finished, destroyed, exterminated, extinct, waste, To destroy, ruin","23) چَٽُ
			(p. 195) چَٽُ a. Finished, destroyed, exterminated, extinct, waste. چٽ ڪرڻ v. t. To destroy, ruin."
چَڙَتِ,200,چڙت ڪرڻ,"Competition, Outbidding, To compete, To outbid","24) چَڙَتِ
			(p. 200) چَڙَتِ n. Competition. Outbidding. چڙت ڪرڻ v. t. To compete. To outbid."
چَڙَهڻُ,200,چڙهيِ ڪرڻ,"An irruption, attack, invasion, To die a sudden death, To invade, To hop along","25) چَڙَهڻُ
			(p. 200) ...An irruption, attack, invasion. چڙهيِءَ جُتيِ ءَوڃڻ To die a sudden death (said by way of a curse). چڙهيِ ڪرڻ To invade. چڙهيِ ڪريِ هلڻ To hop along."
"چَشْمَہ , چِشْمَہ",201,چَشْمِبَنديِ ڪرڻ,"An eye, Sleight of hand, legerdemain, conjurer, To mesmerise, Connivance, An oculist, A fountain, A pair of spectacles","26) چَشْمَہ , چِشْمَہ
			(p. 201) ...An eye. چَشْمِبَنديِ ڪرڻ n. Sleight of hand, legerdemain, conjurer's tricks, juggling. چشمبنديِ To mesmerise. چشم پوشيِ n. Connivance. چَشْمَ سازُ n. An oculist. چَشمو n. A fountain. A pair of spectacles."
